ID	Interaction	Reference	File
TP-002	disp	Sorensen 1981	Sorensen.FOR.txt
TP-003	disp	Frost 1980	Frost.FOR.txt
TP-004	disp	Guitián 1983	Guitian.FOR.txt
TP-005	disp	Galetti 1996	StaGen1.FOR.txt
TP-006	disp	Galetti 1996	StaGen2.FOR.txt
TP-007	disp	Kantak 1981	Kantak.FOR.txt
TP-008	disp	Snow 1988	Wytham.FOR.txt
TP-009	disp	Tutin 1997	Primates.FOR.txt
TP-010	disp	Noma 1997	Sapfruits.FOR.txt
TP-011	disp	Wheelwright 1984	Monteverde.FOR.txt
TP-012	disp	Crome 1975	Crome.FOR.txt
TP-013	disp	Snow 1971	Trinidad.FOR.txt
TP-014	disp	Jordano unpub	Correhuela.FOR.txt
TP-015	disp	Jordano 1985	HatoRaton.FOR.txt
TP-016	disp	Herrera 1984	Viso.FOR.txt
TP-017	pollin	Arroyo 1982	poll1.TF.txt
TP-018	pollin	Arroyo 1982	poll2.TF.txt
TP-019	pollin	Arroyo 1982	poll3.TF.txt
TP-020	pollin	Elberling 1999	poll7.TF.txt
TP-021	pollin	Olesen 2008	zacken.FOR.txt
TP-022	pollin	Olesen 2002	poll19.TF.txt
TP-023	pollin	Herrera 1988	poll8.TF.txt
TP-024	pollin	Hocking 1968	poll9.TF.txt
TP-025	pollin	Inoue 1990	INOUE-OLE.txt
TP-026	pollin	Inouye 1988	poll10.TF.txt
TP-027	pollin	Kakutani 1990	KAKU.PJ.txt
TP-028	pollin	Kato 1996	KATO.PJ.txt
TP-029	pollin	Kato 1990	KAT1.PJ.txt
TP-030	pollin	Kato 1993	KAT2.PJ.txt
TP-031	pollin	Kevan 1970	poll12.TF.txt
TP-032	pollin	McMullen 1993	poll13.TF.txt
TP-033	pollin	Mosquin 1967	poll17.TF.txt
TP-034	pollin	Montero 2005	gap.FOR.txt
TP-035	pollin	Olesen & Forfarg unpubl	poll25.TF.txt
TP-036	pollin	Montero 2005	interior.FOR.txt
TP-037	pollin	Montero 2005	coast.FOR.txt
TP-038	pollin	Olesen 2002	poll20.TF.txt
TP-039	pollin	Percival 1974	poll27.TF.txt
TP-040	pollin	Petanidou 1991	poll28.TF.txt
TP-041	pollin	Primack 1983	poll29.TF.txt
TP-042	pollin	Primack 1983	poll30.TF.txt
TP-043	pollin	Primack 1983	poll31.TF.txt
TP-044	pollin	Ramirez 1989	poll32.TF.txt
TP-045	pollin	Schemske 1978	poll33.TF.txt
TP-046	disp	Baird 1980	Baird.FOR.txt
TP-047	disp	Lambert 1989	Lambert.FOR.txt
TP-048	disp	Jordano unpub	NavaNoguer.FOR.txt
TP-053	disp	Jordano 1993	turnnog.FOR.txt
TP-056	disp	Silva 2002	Wesley.FOR.txt
TP-071	pollin	Kato 2000	poll11.TF.txt
TP-074	pollin	Clements 1923	poll5.TF.txt
TP-079	pollin	Vázquez 2002	poll24.TF.txt
TP-080	pollin	Medan 2002	poll15.TF.txt
TP-081	pollin	Ingversen 2006	Jamaica.FOR.txt
TP-082	pollin	Stald 2003	staldgorge.FOR.txt
TP-083	pollin	Medan 2002	poll14.TF.txt
TP-084	pollin	Helenurm 1987	poll4.TF.txt
TP-085	pollin	Memmott 1999	poll16.TF.txt
TP-086	pollin	Ingversen 2006	Dom.FOR.txt
TP-087	pollin	Bundgaard 2003	mikkel.FOR.txt
TP-088	pollin	Witt 1998	witt.FOR.txt
TP-089	pollin	Dupont 2003	poll6.TF.txt
TP-090	pollin	Stald 2003	Staldslope.FOR.txt
TP-091	pollin	Lundgren 2005	lundgren.FOR.txt
TP-093	disp	Jordano unpub	turcsab.FOR.txt
TP-094	disp	Jordano unpub	turnch.FOR.txt
TP-095	pollin	Montero 2005	forest.FOR.txt
TP-096	paras	Alania 1964	Adzharia.FOR.txt
TP-097	paras	Arthur 1976	Aishihik_Lake.FOR.txt
TP-098	paras	Mikulin 1959	Akmolinsk.FOR.txt
TP-099	paras	Vershinina 1967	Barguzin.FOR.txt
TP-100	paras	deMoraes 2003	Brazil.FOR.txt
TP-101	paras	Linsdale 1956	CaliforniaCentral.FOR.txt
TP-102	paras	Davis 2002	CaliforniaSouthWest.FOR.txt
TP-103	paras	Elshanskaya 1972	CentYakutia.FOR.txt
TP-104	paras	Leong 1981	Cold_Lake2.FOR.txt
TP-105	paras	Burdelova 1996	DzhungAlatau.FOR.txt
TP-106	paras	Mikulin 1959	EastBalkhash.FOR.txt
TP-107	paras	Morozkina 1971	Gissar.FOR.txt
TP-108	paras	Allred 1968	Idaho.FOR.txt
TP-109	paras	Syrvacheva 1964	Kabarda.FOR.txt
TP-110	paras	Koshkin 1966	Khabarovsk.FOR.txt
TP-111	paras	Leonov 1958	Khasan.FOR.txt
TP-112	paras	Reshetnikova 1959	Kustanai.FOR.txt
TP-113	paras	Arai 1983	McGregor_River.FOR.txt
