ID	Interaction	References	Binary_file 	Weighted_file
TP-001	disp	Beehler 1983	wol/M_SD_002.csv	wol/M_SD_002.csv
TP-002	disp	Sorensen 1981	Sorensen.FOR.txt	iwdb/sorensen_1981.txt
TP-003	disp	Frost 1980	Frost.FOR.txt	wol/M_SD_008.csv
TP-005	disp	Galetti 1996	StaGen1.FOR.txt	wol/M_SD_009.csv
TP-006	disp	Galetti 1996	StaGen2.FOR.txt	wol/M_SD_012.csv
TP-008	disp	Snow 1988	Wytham.FOR.txt	iwdb/snow_1988.txt
TP-010	disp	Noma 1997	Sapfruits.FOR.txt	wol/M_SD_023.csv
TP-013	disp	Snow 1971	Trinidad.FOR.txt	wol/M_SD_010.csv
TP-014	disp	Jordano unpub	Correhuela.FOR.txt	wol/M_SD_020.csv
TP-020	pollin	Elberling 1999	poll7.TF.txt	iwdb/elberling_1999.txt
TP-025	pollin	Inoue 1990	INOUE-OLE.txt	wol/M_PL_057.csv
TP-026	pollin	Inouye 1988	poll10.TF.txt	wol/M_PL_019.csv
TP-027	pollin	Kakutani 1990	KAKU.PJ.txt	wol/M_PL_054.csv
TP-028	pollin	Kato 1996	KATO.PJ.txt	wol/M_PL_055.csv
TP-029	pollin	Kato 1990	KAT1.PJ.txt	iwdb/kato_1990.txt
TP-030	pollin	Kato 1993	KAT2.PJ.txt	wol/M_PL_056.csv
TP-033	pollin	Mosquin 1967	poll17.TF.txt	wol/M_PL_024.csv
TP-038	pollin	Olesen 2002	poll20.TF.txt	iwdb/olesen_2002_2.txt
TP-045	pollin	Schemske 1978	poll33.TF.txt	iwdb/schemske_1978.txt
TP-046	disp	Baird 1980	Baird.FOR.txt	wol/M_SD_001.csv
TP-079	pollin	Vázquez 2002	poll24.TF.txt	wol/M_PL_051.csv
TP-081	pollin	Ingversen 2006	Jamaica.FOR.txt	wol/M_PL_040.csv
TP-084	pollin	Helenurm 1987	poll4.TF.txt	wol/M_PL_004.csv
TP-085	pollin	Memmott 1999	poll16.TF.txt	wol/M_PL_017.csv
TP-086	pollin	Ingversen 2006	Dom.FOR.txt	wol/M_PL_041.csv
TP-091	pollin	Lundgren 2005	lundgren.FOR.txt	wol/M_PL_045.csv
TP-096	paras	Alania 1964	Adzharia.FOR.txt	krasnov/Adzharia.txt
TP-097	paras	Arthur 1976	Aishihik_Lake.FOR.txt	iwdb/aishihik_lake.txt
TP-098	paras	Mikulin 1959	Akmolinsk.FOR.txt	krasnov/Akmolinsk.txt
TP-099	paras	Vershinina 1967	Barguzin.FOR.txt	krasnov/Barguzin.txt
TP-100	paras	deMoraes 2003	Brazil.FOR.txt	krasnov/Brazil.txt
TP-101	paras	Linsdale 1956	CaliforniaCentral.FOR.txt	krasnov/California_central.txt
TP-102	paras	Davis 2002	CaliforniaSouthWest.FOR.txt	krasnov/California_southwest.txt
TP-103	paras	Elshanskaya 1972	CentYakutia.FOR.txt	krasnov/CentYakutia.txt
TP-104	paras	Leong 1981	Cold_Lake2.FOR.txt	iwdb/cold_lake.txt
TP-105	paras	Burdelova 1996	DzhungAlatau.FOR.txt	krasnov/DzhungAlatau.txt
TP-106	paras	Mikulin 1959	EastBalkhash.FOR.txt	krasnov/EastBalkhash.txt
TP-107	paras	Morozkina 1971	Gissar.FOR.txt	krasnov/Gissar.txt
TP-108	paras	Allred 1968	Idaho.FOR.txt	krasnov/Idaho.txt
TP-109	paras	Syrvacheva 1964	Kabarda.FOR.txt	krasnov/Kabarda.txt
TP-110	paras	Koshkin 1966	Khabarovsk.FOR.txt	krasnov/Khabarovsk.txt
TP-111	paras	Leonov 1958	Khasan.FOR.txt	krasnov/Khasan.txt
TP-112	paras	Reshetnikova 1959	Kustanai.FOR.txt	krasnov/Kustanai.txt
TP-113	paras	Arai 1983	McGregor_River.FOR.txt	iwdb/mcgregor_river.txt
TP-114	paras	Vasiliev 1966	MongoliaCKhangay.FOR.txt	krasnov/MongoliaCKhangay.txt
TP-115	paras	Labunets 1967	MongoliaNorthWestKhangay.FOR.txt	krasnov/MongoliaNorthWestKhangay.txt
TP-116	paras	Popova 1968	Moyynkum.FOR.txt	krasnov/Moyynkum.txt
TP-117	paras	Krasnov 1997	Negev.FOR.txt	krasnov/Negev.txt
TP-118	paras	Morlan 1955	NewMexico.FOR.txt	krasnov/NewMexico.txt
TP-119	paras	Yudin 1976	NorthFarEast.FOR.txt	krasnov/NorthFarEast.txt
