"ID"	"Interaction"	"Reference"	"File"	"rows"	"cols"	"connectance"	"nint"
"1"	"TP-002"	"disp"	"Sorensen 1981"	"Sorensen.FOR.txt"	7	6	0.523809523809524	22
"2"	"TP-003"	"disp"	"Frost 1980"	"Frost.FOR.txt"	16	10	0.6875	110
"3"	"TP-004"	"disp"	"Guitián 1983"	"Guitian.FOR.txt"	12	7	0.476190476190476	40
"4"	"TP-005"	"disp"	"Galetti 1996"	"StaGen1.FOR.txt"	7	18	0.301587301587302	38
"5"	"TP-006"	"disp"	"Galetti 1996"	"StaGen2.FOR.txt"	35	29	0.14384236453202	146
"6"	"TP-007"	"disp"	"Kantak 1981"	"Kantak.FOR.txt"	5	27	0.637037037037037	86
"7"	"TP-008"	"disp"	"Snow 1988"	"Wytham.FOR.txt"	11	14	0.305194805194805	47
"8"	"TP-009"	"disp"	"Tutin 1997"	"Primates.FOR.txt"	19	8	0.493421052631579	75
"9"	"TP-010"	"disp"	"Noma 1997"	"Sapfruits.FOR.txt"	15	8	0.316666666666667	38
"10"	"TP-011"	"disp"	"Wheelwright 1984"	"Monteverde.FOR.txt"	169	40	0.0985207100591716	666
"11"	"TP-012"	"disp"	"Crome 1975"	"Crome.FOR.txt"	71	7	0.285714285714286	142
"12"	"TP-013"	"disp"	"Snow 1971"	"Trinidad.FOR.txt"	50	14	0.334285714285714	234
"13"	"TP-014"	"disp"	"Jordano unpub"	"Correhuela.FOR.txt"	25	33	0.186666666666667	154
"14"	"TP-015"	"disp"	"Jordano 1985"	"HatoRaton.FOR.txt"	16	17	0.444852941176471	121
"15"	"TP-016"	"disp"	"Herrera 1984"	"Viso.FOR.txt"	14	10	0.464285714285714	65
"16"	"TP-017"	"pollin"	"Arroyo 1982"	"poll1.TF.txt"	98	87	0.043631245601689	372
"17"	"TP-018"	"pollin"	"Arroyo 1982"	"poll2.TF.txt"	62	43	0.0746436609152288	199
"18"	"TP-019"	"pollin"	"Arroyo 1982"	"poll3.TF.txt"	28	41	0.0792682926829268	91
"19"	"TP-020"	"pollin"	"Elberling 1999"	"poll7.TF.txt"	118	23	0.0876934414148858	238
"20"	"TP-021"	"pollin"	"Olesen 2008"	"zacken.FOR.txt"	76	31	0.193548387096774	456
"21"	"TP-022"	"pollin"	"Olesen 2002"	"poll19.TF.txt"	13	14	0.285714285714286	52
"22"	"TP-023"	"pollin"	"Herrera 1988"	"poll8.TF.txt"	179	26	0.0885259991405243	412
"23"	"TP-024"	"pollin"	"Hocking 1968"	"poll9.TF.txt"	86	29	0.0737770649558941	184
"24"	"TP-025"	"pollin"	"Inoue 1990"	"INOUE-OLE.txt"	840	112	0.0199404761904762	1876
