"topology"	"rows"	"cols"	"nint"	"Wint"	"WB_inconsistencies"	"net_non_interger"	"connectance"	"interaction_type"	"WNODA"	"equi_null_mean"	"equi_null_sd"	"equi_z"	"prop_null_mean"	"prop_null_sd"	"prop_z"	"equi_ci_up"	"equi_ci_down"	"prop_ci_up"	"prop_ci_down"	"prop_ci_up2"	"prop_ci_down2"	"modularity"	"nmod"	"equi_null_mean"	"equi_null_sd"	"equi_z"	"equi_null_ci_up"	"equi_null_ci_down"	"prop_null_mean"	"prop_null_sd"	"prop_z"	"prop_null_ci_up"	"prop_null_ci_down"	"WNODA_SM"	"equi_null_SM_mean"	"equi_null_SM_sd"	"equi_SM_z"	"equi_SM_ci_up"	"equi_SM_ci_down"	"prop_null_SM_mean"	"prop_null_SM_sd"	"prop_SM_z"	"prop_SM_ci_up"	"prop_SM_ci_down"	"WNODA_DM"	"equi_null_DM_mean"	"equi_null_DM_sd"	"equi_DM_z"	"equi_DM_ci_up"	"equi_DM_ci_down"	"prop_null_DM_mean"	"prop_null_DM_sd"	"prop_DM_z"	"prop_DM_ci_up"	"prop_DM_ci_down"	"prop_SM_ci_up2"	"prop_SM_ci_down2"	"prop_DM_ci_up2"	"prop_DM_ci_down2"	"wnoda_equi_sig"	"wmod_equi_sig"	"wnoda_equi_SM_sig"	"wnoda_equi_DM_sig"	"wnoda_prop_equal"	"wmod_prop_sig"	"wnoda_prop_SM_equal"	"wnoda_prop_DM_equal"
"TP-001"	"compound"	31	9	119	1189	""	FALSE	0.426523297491039	"disp"	51.1263367925045	50.6211019158209	1.9100029905468	0.264520463676816	69.0048482436382	2.72353448291599	-6.56445202485261	53.932082865362	46.5932691532027	74.5833739272954	64.0353711026514	77.6561939449232	64.6880160831746	0.348409622549287	4	0.100121809580465	0.0061916491208757	40.1004333613959	0.113096148391373	0.0895973109262719	0.0733917357775955	0.00628681498957116	43.7451853168739	0.0856758865433844	0.0616843068752604	69.9271867838044	41.7978190252678	2.73847582801918	10.2719065367407	47.2889130497161	36.6234320444472	68.1882704072059	3.77211592928209	0.460992294298193	76.9501463882828	62.1774668958492	44.121088576568	48.4131391250258	2.09843520458131	-2.04535767370245	51.4497371627751	43.2921854652984	52.0341191303996	2.55321271556382	-3.09924453438426	56.314325684773	47.0304445095253	79.7580006200696	62.9414271304718	59.2844924631012	48.1943574695804	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE
"TP-002"	"pure modular"	14	11	46	7434	" R C connec"	FALSE	0.298701298701299	"disp"	36.6829745596869	56.7595581196364	1.85075786554697	-10.8477634668953	85.7214542558577	3.39553415948774	-14.4420516457325	60.3682618751112	53.8267212239815	91.0722587914369	77.2923419263928	93.2707209077072	80.2876910000197	0.232309736858238	2	0.0308456411803314	0.00245799688206607	81.9627140895988	0.0355629838516529	0.0261676622088928	0.0126993332952342	0.00251619275265945	87.2788475091545	0.0178034970678026	0.00892949155148031	43.8484432234432	53.2985161714557	2.20058656228662	-4.29434274932269	58.3791208791209	49.8076923076923	74.7954677358442	3.78027473999789	-8.18644850993509	82.3735292485292	68.0285136871675	18.9399092970522	53.2744353152516	0.0913335139100106	-375.924724105422	53.4632034632035	53.2467532467533	57.4112718190099	3.34717057640078	-11.4936964351922	63.1378779950209	50.9761799047513	83.5314231708462	68.6868211916289	64.4201367415653	51.8305385091099	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
"TP-003"	"pure modular"	16	10	110	3554	""	FALSE	0.6875	"disp"	52.7513538649902	55.5556277056277	1.82299643850263	-1.53827719100803	86.7210078762027	1.0466971025316	-32.4541397210822	59.0893939393939	51.9727272727273	88.5995430495431	84.5832445332445	88.8434343434343	84.7966366966367	0.313348295563045	4	0.0467658274423833	0.00382706492395439	69.6571585321344	0.0544318876002342	0.0403645467992979	0.0390375902911177	0.00403609779533957	67.9643356483262	0.0480975884884358	0.032824761086211	56.6541866541867	52.351484530056	2.7763493480377	1.54976971005893	57.527027027027	47.9594594594595	79.7383953455382	2.059004553194	-11.2113441689784	82.9546332046332	75.264157014157	51.6231912618631	64.8794482737005	0.822141956154039	-16.1240487881799	66.453125	63.357421875	67.3334517148691	1.18652974939902	-13.2405112142896	69.427734375	64.8224444826007	84.1441441441441	76.1955169455169	69.580078125	65.0469680059524	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
"TP-005"	"pure modular"	7	18	38	150	""	FALSE	0.301587301587302	"disp"	32.5095785440613	27.7013631274836	2.74312767402087	1.75282232107332	51.6052447116557	5.35687224735476	-3.56470441814696	33.4923926648065	22.8257685800789	61.0400334785435	40.849841630225	66.6520688613712	41.6242609521352	0.426177777777778	5	0.21768253968254	0.0194956214711387	10.6944648265712	0.253084444444444	0.183804444444444	0.173351534391534	0.0200606181978069	12.6031132686571	0.214897777777778	0.135964444444444	73.5416666666667	72.063385239795	5.64503211002968	0.261872988152741	78.5944444444444	60.1857142857143	81.2845590262427	4.6494958899425	-1.6653186803165	88.9441884280594	71.6868386243386	20.2611940298507	22.7049266696002	2.21816593479172	-1.1016906361331	26.6109926557688	18.157507393906	25.8543191768538	2.78741675078229	-2.00656222125138	32.151824212272	21.6238621260124	90.2040816326531	74.3333333333333	34.4524401800521	22.1036484245439	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
"TP-006"	"compound"	35	29	146	397	""	FALSE	0.14384236453202	"disp"	18.0733408006135	6.10321123446366	0.606183523672744	19.7467088739484	30.9236268393875	2.55496719294991	-5.02953074083795	7.22491394719167	5.07286729385219	35.7574582604807	26.579969942805	36.8033098076574	27.3042630126335	0.400300744246839	7	0.255534234961806	0.00883144394387606	16.392167600794	0.274782531454422	0.240932941646733	0.202970279978573	0.010590169021043	18.6333630630601	0.221394717306753	0.181667290573508	36.3967291967292	20.6261059885968	1.9515045744705	8.08126376665627	24.3915899728764	16.842768680271	40.8447719712131	4.09681264149962	-1.08573253495326	49.075153077859	34.3678987372937	14.8436013653405	15.6726055964626	2.94217178901134	-0.281766086609319	19.5826474054812	9.20630938962243	20.2522588723163	2.00410969541633	-2.69878316508627	23.7685020032504	15.6612222372596	54.1307968651719	34.9696738174306	24.6345392685748	16.841059303432	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE
"TP-008"	"compound"	19	29	211	19946	" R C connec"	FALSE	0.382940108892922	"disp"	54.4165012266512	54.1221667088297	0.908650814862329	0.323924782773779	85.9456681519291	1.14066085469528	-27.6411404805339	55.7264403463688	52.2519949548167	88.0471846985612	83.4233812361298	88.4520683495855	84.0344159563883	0.330768850487713	4	0.0283874313276521	0.00115005902832378	262.926868719761	0.0305295218578179	0.0265143426608104	0.0192405402969218	0.00186268723226245	167.246709375038	0.0230996275927155	0.0163515471518412	60.7336526541924	51.3812751543657	1.20525051608667	7.75969590968763	53.386319544402	48.83134113524	79.2276963634845	2.97620195514398	-6.21397471946671	85.0446932727341	74.3291479885209	52.2961610484255	60.7936991001318	0.248376813544521	-34.2122838699803	61.2358002285407	60.3289650397813	73.9041593688717	1.58764997251845	-13.6100517711533	76.8881190166025	71.0741770835801	86.2739339268486	74.7532634422851	77.8663343651992	71.3694752081719	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE
"TP-010"	"nested"	15	8	38	60	""	FALSE	0.316666666666667	"disp"	24.3626924453992	9.8641969736934	2.76257965562468	5.24817282360945	27.7043004271042	6.30536361890523	-0.529962771962254	15.8975169014974	4.86126029359112	40.804649122807	15.6829231692677	48.3110119047619	18.2303553000147	0.339444444444444	6	0.34015873015873	0.0350806258544201	-0.0203612591534117	0.409277777777778	0.279	0.286804232804233	0.0363362500914034	1.44869686629181	0.3675	0.216444444444444	64.9122807017544	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.6044277360067	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	NA	NA	TRUE	FALSE	NA	NA
"TP-013"	"compound"	50	14	234	2144	""	FALSE	0.334285714285714	"disp"	32.0224503277315	45.255326801963	1.17555070330049	-11.2567466780282	57.2664568232373	1.71129141122558	-14.7514364473008	47.3209449810539	43.0473722961156	60.5001611897182	54.051694524493	62.156712841206	54.4452764028707	0.299353715331922	7	0.0979027250971953	0.00410006046855018	49.1336632178895	0.106544861397304	0.0905499467448207	0.0789444634503389	0.00473495872241264	46.5493502273398	0.0876421008298062	0.0684691485436623	51.5690567414705	36.1883341656032	1.58686875577214	9.69249821065592	39.1436038456673	32.9629754587984	55.0814640153225	2.64660499658449	-1.3271369465352	60.5281675493771	50.5730488829765	29.0442458478798	51.0378585874658	2.80873406059737	-7.83043615560683	53.935973875781	44.1647865040679	43.0749015452436	2.24111129824741	-6.26057960991766	46.4204378063743	37.3416854655316	60.8844991224421	51.0283235364905	46.9045123612395	38.3006077148536	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE
"TP-014"	"compound"	25	33	150	7010	" connec"	FALSE	0.181818181818182	"disp"	50.8048784950959	50.3588118068191	0.856847855972158	0.520590306864611	74.4119474938052	2.18198237645561	-10.8190924241361	51.7894305372566	48.9238178890353	79.0174967306935	70.0638886970314	81.5653770005688	70.3091538817762	0.302101501624946	4	0.053802860257373	0.00228839210310704	108.503538808077	0.0582569754640304	0.0488407919397803	0.0273280407883349	0.00243169157745732	112.996838654977	0.0319426456193618	0.023227518869518	71.9298443793393	35.9941106861336	2.10853071829787	17.043021181221	40.9954907955852	32.6106783468062	65.6532102283974	5.08162091069191	1.23516379148545	75.5664253857737	58.6022785523577	38.9892196106885	57.4552598778458	2.19145096594509	-8.42639901787331	59.5130802631541	51.8214760749439	54.3834693400904	1.97042694553719	-7.81264677904868	58.3018887825152	51.3316056798302	80.5998495926271	59.2759800532243	60.0349143821362	51.4592359492275	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE
"TP-020"	"compound"	118	23	238	383	""	FALSE	0.0876934414148858	"pollin"	5.94298763407994	1.24539345137483	0.205282233071957	22.8835886691591	9.2037156566445	0.903434824813506	-3.60925650971853	1.66435980286277	0.816302555078963	10.8813932630636	7.67321137236085	11.8718361556215	7.74540166775702	0.500930540122299	10	0.373307571022464	0.0084674777856727	15.0721350950312	0.388029095569538	0.356942920055355	0.313736252499214	0.0122013844925152	15.3420530053714	0.333680098712241	0.289120520284411	25.4927747690906	15.330187509625	2.12210380186362	4.78892090506642	19.871355154391	11.872428734402	23.9436518089051	2.82768086424833	0.547842219315385	30.5105732843809	18.999135765992	3.35697148773992	4.26783288712386	1.19016949293678	-0.765320741952782	6.23918626613416	1.96622699310737	5.95112983569925	0.904913606715853	-2.86674697861396	7.47351734292404	4.27797019679235	34.4372721295798	20.0840815668715	8.43050273166226	4.53813239279926	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE
