"topology"	"topology_equi"	"topology_prop"	"rows"	"cols"	"nint"	"connectance"	"interaction_type"	"NODF"	"equi_null_mean"	"equi_null_sd"	"equi_z"	"prop_null_mean"	"prop_null_sd"	"prop_z"	"equi_ci_up"	"equi_ci_down"	"prop_ci_up"	"prop_ci_down"	"modularity"	"nmod"	"equi_null_mean"	"equi_null_sd"	"equi_z"	"equi_null_ci_up"	"equi_null_ci_down"	"prop_null_mean"	"prop_null_sd"	"prop_z"	"prop_null_ci_up"	"prop_null_ci_down"	"NODF_SM"	"equi_null_SM_mean"	"equi_null_SM_sd"	"equi_SM_z"	"equi_SM_ci_up"	"equi_SM_ci_down"	"prop_null_SM_mean"	"prop_null_SM_sd"	"prop_SM_z"	"prop_SM_ci_up"	"prop_SM_ci_down"	"NODF_DM"	"equi_null_DM_mean"	"equi_null_DM_sd"	"equi_DM_z"	"equi_DM_ci_up"	"equi_DM_ci_down"	"prop_null_DM_mean"	"prop_null_DM_sd"	"prop_DM_z"	"prop_DM_ci_up"	"prop_DM_ci_down"	"nodf_equi_sig"	"mod_equi_sig"	"nodf_equi_SM_sig"	"nodf_equi_DM_sig"	"nodf_prop_sig"	"mod_prop_sig"	"nodf_prop_SM_sig"	"nodf_prop_DM_sig"	"mean_equi_nullconnec"	"mean_equi_nullconnec_P"	"sd_equi_nullconnec"	"mean_prop_nullconnec"	"mean_prop_nullconnec_P"	"sd_prop_nullconnec"
"TP-002"	"nested"	"nested"	"unstructured"	7	6	22	0.523809523809524	"disp"	66.6666666666667	48.7707231040564	7.89539547533142	2.26663042003719	57.042328042328	9.30398588988362	1.0344317734621	63.287037037037	35.7407407407407	77.3703703703704	41.25	0.25	4	0.25926800472255	0.0256191846926836	-0.361760330538424	0.308677685950413	0.220247933884298	0.249390003935458	0.0235972522964011	0.0258503005722662	0.297520661157025	0.210743801652893	66.6666666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	66.6666666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	NA	NA	FALSE	FALSE	NA	NA	0.523809523809524	1	0	0.523809523809524	1	0
"TP-003"	"nested"	"nested"	"unstructured"	16	10	110	0.6875	"disp"	74.571312525858	64.1214667807741	4.12507142826731	2.53325207255216	69.4176982389104	4.11905567550902	1.25116402713123	72.4316562225653	57.8249289431108	76.8194354467082	61.2669027941755	0.12099173553719	4	0.130730421094057	0.00938082426536629	-1.03814817135231	0.149900826446281	0.114743801652893	0.128420306965762	0.00811761877760341	-0.91511705982879	0.143471074380165	0.112280991735537	75.957645957646	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	74.1705755182318	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	NA	NA	FALSE	FALSE	NA	NA	0.6875	1	0	0.6875	1	0
"TP-004"	"unstructured"	"unstructured"	"unstructured"	12	7	40	0.476190476190476	"disp"	56.8281335522715	47.3139590446651	5.89486386202911	1.61397696881357	52.7648326252596	5.79884627229731	0.700708509281137	58.9406130268199	35.367816091954	63.3002189381499	42.6360153256705	0.25	3	0.258595238095238	0.0152630630901759	-0.563139786847272	0.29575	0.234125	0.252119047619048	0.0146950408317156	-0.144201546856147	0.283125	0.227875	80.072463768116	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	48.4747023809524	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	NA	NA	FALSE	FALSE	NA	NA	0.476190476190476	1	0	0.476190476190476	1	0
"TP-005"	"unstructured"	"unstructured"	"unstructured"	7	18	38	0.301587301587302	"disp"	34.2432950191571	27.9263559830062	3.82694809700355	1.65064664480214	36.4354588578727	4.01639013038963	-0.545804507915895	35.0871647509578	21.2151067323481	44.5373563218391	29.735632183908	0.393351800554017	3	0.407472628940773	0.0172105681760852	-0.820474271522189	0.43808864265928	0.378116343490305	0.392468012135602	0.0155380022349405	0.0568791537709412	0.41994459833795	0.362465373961219	37.6851851851852	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	32.6944444444444	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	NA	NA	FALSE	FALSE	NA	NA	0.301587301587302	1	0	0.301587301587302	1	0
"TP-006"	"nested"	"nested"	"nested"	35	29	146	0.14384236453202	"disp"	35.492496736253	14.7526419159072	1.16566953009855	17.7922252274986	26.5656269503137	2.11166189532676	4.2274143439795	17.3810475239047	12.858189429618	30.334584163755	23.3347640815173	0.370707449802965	8	0.408383150595573	0.0120737152432875	-3.12047286468465	0.430990805029086	0.387830737474198	0.368408260282909	0.011474008145847	0.2003824200603	0.389782323137549	0.347607431037719	64.3989463601532	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	31.7036287629508	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	NA	NA	TRUE	FALSE	NA	NA	0.14384236453202	1	0	0.14384236453202	1	0
"TP-007"	"nested"	"nested"	"unstructured"	5	27	86	0.637037037037037	"disp"	67.3437980917205	56.8519051445869	4.76291330312141	2.20283097327379	62.0778566597478	4.21925916131363	1.24807252426117	63.8675572295827	46.9248618191506	70.2194262591958	52.734404998219	0.180367766360195	4	0.172606814494321	0.0126412121994362	0.613940478447122	0.195051379123851	0.149837750135208	0.17577326225244	0.0104746603013853	0.438630368485259	0.195889670091942	0.157355327203894	66.3366336633663	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	67.7350427350427	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	NA	NA	FALSE	FALSE	NA	NA	0.637037037037037	1	0	0.637037037037037	1	0
"TP-008"	"nested"	"nested"	"unstructured"	11	14	47	0.305194805194805	"disp"	45.4109589041096	30.3890131395024	3.96589168750358	3.78778518131016	40.7593705671005	5.86656360417421	0.792898304843974	38.6937377690802	22.4452054794521	52.5841487279843	28.14514024788	0.355364418288818	4	0.359796503481429	0.0186333016772139	-0.237858285632232	0.394658216387506	0.329470348574015	0.340451400116407	0.019385465513408	0.769288628230101	0.383159800814848	0.305839746491625	80.4761904761905	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	34.3543543543544	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	NA	NA	FALSE	FALSE	NA	NA	0.305194805194805	1	0	0.305194805194805	1	0
"TP-009"	"nested"	"nested"	"unstructured"	19	8	75	0.493421052631579	"disp"	57.4230459657595	49.0373721490017	4.41185838706842	1.90071237130752	54.3067531096964	4.34065264185761	0.717931867206378	57.0687274757626	41.4547448642926	61.5635411489683	46.8200852748591	0.230933333333333	3	0.226514285714286	0.0129891632195853	0.340210338752575	0.253902222222222	0.197973333333333	0.224391111111111	0.011816550274884	0.55364908285692	0.246755555555556	0.204408888888889	76.1092289353159	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	47.504995004995	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	NA	NA	FALSE	FALSE	NA	NA	0.493421052631579	1	0	0.493421052631579	1	0
"TP-010"	"nested"	"nested"	"nested"	15	8	38	0.316666666666667	"disp"	66.797350519155	31.2151978585921	4.2682088986841	8.33655369387685	46.1045215078513	6.51913210833791	3.17416930159121	38.577873254565	22.4185463659148	58.9398496240601	34.6165413533835	0.329639889196676	4	0.375333069515895	0.0177543319947845	-2.57363556863992	0.413296398891967	0.344598337950139	0.346293364991426	0.0173740085336803	-0.958528123343925	0.382825484764543	0.318005540166205	59.1954022988506	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	68.9171245421245	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	NA	NA	TRUE	FALSE	NA	NA	0.316666666666667	1	0	0.316666666666667	1	0
"TP-011"	"compound"	"compound"	"compound"	169	40	666	0.0985207100591716	"disp"	32.8719104670115	10.4695572453161	0.275097009692226	81.4343756290146	22.7509424559613	1.16306396076735	8.70198746797444	11.0419325413492	9.96210702607982	25.5207448023524	20.7734105613886	0.39780320861402	5	0.335043924233113	0.00583054488701708	10.7638798083268	0.347302708113519	0.325034493953412	0.302588345531288	0.00554755947202651	17.1633785203838	0.313815166517869	0.29384294204114	54.5852444252813	29.6208391665063	0.769781805654776	32.4304953369745	30.9208931095453	28.0519921328985	44.1853816888152	1.49694716416701	6.94738130069757	46.8428251670019	41.2554115550003	26.8325014570259	14.2651204798097	0.223457785915748	56.2405150740846	14.6831391531514	13.8534586853839	20.6325331631505	0.833434844497105	7.43905577599942	22.3551948509713	19.1333579983219	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	0.0985207100591716	1	0	0.0985207100591716	1	0
"TP-012"	"nested"	"nested"	"nested"	71	7	142	0.285714285714286	"disp"	51.6126190759199	27.4290304698536	1.49597312106868	16.1657908591234	45.4134217303167	3.39389783496434	1.82657158437074	29.7811533477094	24.1794879423886	51.4985198458917	39.0690332816304	0.331333068835548	7	0.39308527219656	0.00732002768397356	-8.43606145045207	0.406784368180917	0.381789327514382	0.344746412748793	0.00851427785913796	-1.5753941949227	0.361396548303908	0.327960722078953	52.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	51.3665121656308	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	NA	NA	TRUE	FALSE	NA	NA	0.285714285714286	1	0	0.285714285714286	1	0
"TP-013"	"pure modular"	"nested"	"pure modular"	50	14	234	0.334285714285714	"disp"	48.9213564213564	33.9795034798109	1.35155048400127	11.0553420818659	43.6766449816728	1.90463348408067	2.75365915989615	36.6897308135703	31.4378797261889	47.6156554030122	40.3269186739153	0.27339469647162	5	0.253828412802772	0.00876308214031099	2.23280842922162	0.274990868580612	0.239429468916649	0.235558094959804	0.00787985940086728	4.80168485083007	0.254372123602893	0.224190956242238	60.8189915876086	56.1941636639109	3.15853398842874	1.46423243841627	62.711234792649	50.6127131899354	62.2437658986808	3.34204374857868	-0.426318270572662	68.6127488442502	54.0862826230806	45.6765468305604	42.6289942907407	0.723208405887545	4.21393406798094	44.1829405975176	41.4560060047918	44.1701409992402	0.87893810463797	1.71389296171275	46.1184856742573	42.6968980883434	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	0.334285714285714	1	0	0.334285714285714	1	0
"TP-014"	"nested"	"nested"	"nested"	25	33	154	0.186666666666667	"disp"	57.2088422179002	19.2322519868241	1.056556228828	35.943747426677	36.3013687478128	2.90183091017349	7.20492479309809	21.4589903521063	17.398445287938	42.0246652343334	30.8060757680323	0.315230224321133	7	0.361497562425206	0.0117020724378194	-3.95377300473234	0.386751560128183	0.338969472086355	0.31774972090371	0.0101378147638779	-0.248524622047123	0.334542081295328	0.302774498229044	68.0498124098124	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	55.2812159391107	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	NA	NA	TRUE	FALSE	NA	NA	0.186666666666667	1	0	0.186666666666667	1	0
